Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAPPRD500W60D1000H1300,1,1000uF,
"C10, C9",CAP_EEEFNE181XUV,2,180uF,
C11,0603,1,10uF,
"C12, C14",0603,2,0.1uF,
"C13, C15",0603,2,22pF,
"C16, C6, C7",0603,3,1uF,
"C2, C3, C4",CAPPRD200W45D500H700,3,15uF,
C5,0805,1,0.47uF,
C8,CAPRR750W60L1030T440H750,1,0.01uF,
D1,D_SMC,1,SS54,
"D2, D5",D_SMB,2,SMBJ12A,
D3,D_SMA,1,SMAJ5.0A,
D4,D_SMA,1,SS14,
D6,TO-220-2_Vertical_KA,1,MBR735,
F1,FUSC7351X170N,1,Polyfuse,
F2,FUSC1608X100N,1,Polyfuse,
J1,"PhoenixContact_MCV_1,5_4-G-5.08_1x04_P5.08mm_Vertical",1,RGB_Strip,
J2,"PhoenixContact_MCV_1,5_3-G-5.08_1x03_P5.08mm_Vertical",1,CW/WW_Strip,
J3,MPD_EJ503A,1,CON_12VDC_IN,
L1,IND_XAL6060-223MEB,1,22uH,
P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Plug_USB2.0,
"Q1, Q2, Q3, Q4, Q5",TO254P1524X483-4N,5,IRLZ44N,
R1,0603,1,5.1k,
"R10, R12, R13, R4, R9",0603,5,10k,
"R11, R2, R3, R7, R8",0402,5,100,
"R14, R15",0402,2,22,
R5,0603,1,100k,
R6,0805,1,100k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,uC_Reset,
U1,TO127P1041X469X2199-7N,1,LM2678T-ADJ,
U2,Texas_X2SON-4_1x1mm_P0.65mm,1,TPS7A20xxxDQN,
U3,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
