Designator,Mid X,Mid Y,Rotation,Layer
C1,150.01,-115.64,90.0,bottom
C10,205.8,-94.51,0.0,bottom
C11,133.755,-95.67,180.0,top
C12,133.755,-98.18,180.0,top
C13,141.02,-69.89,0.0,top
C14,140.63,-96.88,270.0,top
C15,137.59,-69.89,180.0,top
C16,137.215,-95.68,180.0,top
C2,190.5425,-113.29,0.0,bottom
C3,184.77,-118.94,90.0,bottom
C4,190.54,-119.01,90.0,bottom
C5,195.77,-118.38,90.0,bottom
C6,150.804713,-60.738986,270.0,top
C7,150.774713,-64.013986,90.0,top
C8,199.17,-104.88,270.0,bottom
C9,197.45,-94.08,270.0,bottom
D1,140.81,-106.6,90.0,bottom
D2,140.97,-117.06,270.0,bottom
D3,185.4,-59.23,90.0,bottom
D4,140.244713,-62.623986,90.0,top
D5,145.534713,-62.633986,90.0,top
D6,191.63,-104.91,90.0,bottom
F1,131.01,-101.73,180.0,bottom
F2,135.984713,-61.623986,0.0,top
J1,170.7175,-58.3525,180.0,bottom
J2,171.16,-117.57,0.0,bottom
J3,129.17,-109.975,0.0,bottom
L1,206.27,-106.97,180.0,bottom
P1,128.853245,-63.321781,270.0,top
Q1,195.71,-75.28,90.0,bottom
Q2,179.18,-100.6625,270.0,bottom
Q3,179.15,-75.28,90.0,bottom
Q4,162.61,-100.6425,270.0,bottom
Q5,162.63,-75.22,90.0,bottom
R1,136.01,-59.74,0.0,top
R10,169.48,-93.56,90.0,bottom
R11,169.46,-82.61,90.0,top
R12,169.48,-82.28,90.0,bottom
R13,137.205,-98.14,0.0,top
R14,140.038457,-72.041152,90.0,top
R15,138.568457,-72.031152,270.0,top
R2,189.03,-82.56,90.0,top
R3,172.32,-93.89,90.0,top
R4,188.98,-82.255,90.0,bottom
R5,172.309675,-93.565,90.0,bottom
R6,153.707213,-60.003986,0.0,top
R7,186.04,-82.625,90.0,top
R8,169.46,-93.88,90.0,top
R9,185.96,-82.315,90.0,bottom
SW1,143.72,-98.185,270.0,top
U1,203.93,-116.66,180.0,bottom
U2,153.119713,-62.353986,90.0,top
U3,138.574631,-83.605009,90.0,top
