pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
150.01,-115.64,90.0,bottom,C1,,,CAPPRD500W60D1000H1300,1000uF,tht
205.8,-94.51,180.0,bottom,C10,,,CAP_EEEFNE181XUV,180uF,smt
133.755,-95.67,180.0,top,C11,,,C_0603_1608Metric,10uF,smt
133.755,-98.18,180.0,top,C12,,,C_0603_1608Metric,0.1uF,smt
141.02,-69.89,0.0,top,C13,,,C_0603_1608Metric,22pF,smt
140.63,-96.88,-90.0,top,C14,,,C_0603_1608Metric,0.1uF,smt
137.59,-69.89,180.0,top,C15,,,C_0603_1608Metric,22pF,smt
137.215,-95.68,180.0,top,C16,,,C_0603_1608Metric,1uF,smt
190.5425,-113.29,180.0,bottom,C2,,,CAPPRD200W45D500H700,15uF,tht
184.77,-118.94,90.0,bottom,C3,,,CAPPRD200W45D500H700,15uF,tht
190.54,-119.01,90.0,bottom,C4,,,CAPPRD200W45D500H700,15uF,tht
195.77,-118.38,90.0,bottom,C5,,,C_0805_2012Metric,0.47uF,smt
150.804713,-60.738986,-90.0,top,C6,,,C_0603_1608Metric,1uF,smt
150.774713,-64.013986,90.0,top,C7,,,C_0603_1608Metric,1uF,smt
199.17,-104.88,-90.0,bottom,C8,,,CAPRR750W60L1030T440H750,0.01uF,tht
197.45,-94.08,-90.0,bottom,C9,,,CAP_EEEFNE181XUV,180uF,smt
140.81,-106.6,90.0,bottom,D1,,,D_SMC,SS54,smt
140.97,-117.06,-90.0,bottom,D2,,,D_SMB,SMBJ12A,smt
185.4,-59.23,90.0,bottom,D3,,,D_SMA,SMAJ5.0A,smt
140.244713,-62.623986,90.0,top,D4,,,D_SMA,SS14,smt
145.534713,-62.633986,90.0,top,D5,,,D_SMB,SMBJ12A,smt
191.63,-107.45,90.0,bottom,D6,,,TO-220-2_Vertical_KA,MBR735,tht
131.01,-101.73,0.0,bottom,F1,,,FUSC7351X170N,Polyfuse,smt
135.984713,-61.623986,0.0,top,F2,,,FUSC1608X100N,Polyfuse,smt
163.0975,-58.3525,0.0,bottom,J1,,,"PhoenixContact_MCV_1,5_4-G-5.08_1x04_P5.08mm_Vertical",RGB_Strip,tht
176.24,-117.57,180.0,bottom,J2,,,"PhoenixContact_MCV_1,5_3-G-5.08_1x03_P5.08mm_Vertical",CW/WW_Strip,tht
131.06,-113.55,180.0,bottom,J3,,,MPD_EJ503A,CON_12VDC_IN,tht
206.27,-106.97,0.0,bottom,L1,,,IND_XAL6060-223MEB,22uH,smt
128.853245,-63.321781,-90.0,top,P1,,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Plug_USB2.0,smt
195.71,-75.28,90.0,bottom,Q1,,,TO254P1524X483-4N,IRLZ44N,smt
179.18,-100.6625,-90.0,bottom,Q2,,,TO254P1524X483-4N,IRLZ44N,smt
179.15,-75.28,90.0,bottom,Q3,,,TO254P1524X483-4N,IRLZ44N,smt
162.61,-100.6425,-90.0,bottom,Q4,,,TO254P1524X483-4N,IRLZ44N,smt
162.63,-75.22,90.0,bottom,Q5,,,TO254P1524X483-4N,IRLZ44N,smt
136.01,-59.74,0.0,top,R1,,,R_0603_1608Metric,5.1k,smt
169.48,-93.56,90.0,bottom,R10,,,R_0603_1608Metric,10k,smt
169.46,-82.61,90.0,top,R11,,,R_0402_1005Metric,100,smt
169.48,-82.28,90.0,bottom,R12,,,R_0603_1608Metric,10k,smt
137.205,-98.14,0.0,top,R13,,,R_0603_1608Metric,10k,smt
140.038457,-72.041152,90.0,top,R14,,,R_0402_1005Metric,22,smt
138.568457,-72.031152,-90.0,top,R15,,,R_0402_1005Metric,22,smt
189.03,-82.56,90.0,top,R2,,,R_0402_1005Metric,100,smt
172.32,-93.89,90.0,top,R3,,,R_0402_1005Metric,100,smt
188.98,-82.255,90.0,bottom,R4,,,R_0603_1608Metric,10k,smt
172.309675,-93.565,90.0,bottom,R5,,,R_0603_1608Metric,100k,smt
153.707213,-60.003986,0.0,top,R6,,,R_0805_2012Metric,100k,smt
186.04,-82.625,90.0,top,R7,,,R_0402_1005Metric,100,smt
169.46,-93.88,90.0,top,R8,,,R_0402_1005Metric,100,smt
185.96,-82.315,90.0,bottom,R9,,,R_0603_1608Metric,10k,smt
143.72,-98.185,-90.0,top,SW1,,,SW_Push_SPST_NO_Alps_SKRK,uC_Reset,smt
203.93,-119.2,0.0,bottom,U1,,,TO127P1041X469X2199-7N,LM2678T-ADJ,tht
153.119713,-62.353986,90.0,top,U2,,,Texas_X2SON-4_1x1mm_P0.65mm,TPS7A20xxxDQN,smt
138.574631,-83.605009,90.0,top,U3,,,ESP32-C3-WROOM-02,ESP32-C3-WROOM-02,smt
